Frame: 302, Class: handing_papers, Confidence: 0.29, BBox: [816, 432, 888, 507]
Frame: 303, Class: handing_papers, Confidence: 0.28, BBox: [814, 431, 889, 512]
Frame: 307, Class: handing_papers, Confidence: 0.28, BBox: [818, 429, 892, 512]
Frame: 308, Class: handing_papers, Confidence: 0.34, BBox: [820, 430, 893, 512]
Frame: 309, Class: handing_papers, Confidence: 0.38, BBox: [821, 431, 894, 509]
Frame: 310, Class: handing_papers, Confidence: 0.34, BBox: [822, 432, 896, 510]
Frame: 311, Class: handing_papers, Confidence: 0.41, BBox: [823, 433, 897, 510]
Frame: 312, Class: handing_papers, Confidence: 0.47, BBox: [824, 432, 897, 511]
Frame: 313, Class: handing_papers, Confidence: 0.47, BBox: [825, 434, 897, 512]
Frame: 314, Class: handing_papers, Confidence: 0.30, BBox: [825, 435, 897, 514]
Frame: 315, Class: handing_papers, Confidence: 0.30, BBox: [826, 434, 897, 514]
Frame: 316, Class: handing_papers, Confidence: 0.25, BBox: [825, 432, 898, 513]
Frame: 317, Class: handing_papers, Confidence: 0.26, BBox: [826, 430, 899, 512]
Frame: 318, Class: handing_papers, Confidence: 0.38, BBox: [827, 431, 898, 512]
Frame: 319, Class: handing_papers, Confidence: 0.48, BBox: [827, 432, 898, 512]
Frame: 320, Class: handing_papers, Confidence: 0.54, BBox: [828, 431, 899, 512]
Frame: 321, Class: handing_papers, Confidence: 0.57, BBox: [830, 432, 900, 510]
Frame: 322, Class: handing_papers, Confidence: 0.58, BBox: [830, 433, 902, 511]
Frame: 323, Class: handing_papers, Confidence: 0.58, BBox: [831, 433, 904, 511]
Frame: 324, Class: handing_papers, Confidence: 0.53, BBox: [835, 431, 903, 510]
Frame: 325, Class: handing_papers, Confidence: 0.52, BBox: [836, 431, 904, 510]
Frame: 326, Class: handing_papers, Confidence: 0.47, BBox: [837, 433, 904, 510]
Frame: 327, Class: handing_papers, Confidence: 0.48, BBox: [837, 432, 906, 511]
Frame: 328, Class: handing_papers, Confidence: 0.50, BBox: [836, 432, 908, 513]
Frame: 329, Class: handing_papers, Confidence: 0.44, BBox: [838, 433, 910, 513]
Frame: 330, Class: handing_papers, Confidence: 0.36, BBox: [838, 431, 912, 515]
Frame: 373, Class: handing_papers, Confidence: 0.29, BBox: [868, 426, 934, 509]
