               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045452,            0.065376,            0.016456,             0.66818,             0.60337,             0.68238,             0.44943,            0.041353,            0.038036,            0.010648,              0.0937,              0.0007,              0.0007
                   1,             0.04383,            0.061738,            0.017216,             0.74913,             0.62562,             0.72583,             0.48591,            0.040445,            0.036869,           0.0091224,            0.086485,           0.0014851,           0.0014851
                   2,            0.044758,            0.070138,            0.015996,             0.77592,             0.64586,             0.74882,             0.48588,            0.040186,            0.035971,           0.0080614,            0.079254,           0.0022545,           0.0022545
                   3,            0.044019,            0.062044,            0.013611,             0.75697,             0.67419,             0.76298,             0.50481,            0.040192,            0.035717,           0.0073218,            0.072008,           0.0030079,           0.0030079
                   4,             0.04457,            0.060833,            0.013248,             0.77425,             0.69503,             0.77714,             0.51039,            0.040229,            0.034985,           0.0066538,            0.064746,           0.0037456,           0.0037456
                   5,            0.045311,            0.056112,            0.013657,              0.7866,             0.70699,             0.79497,             0.50275,            0.041823,            0.033309,            0.006093,            0.057467,           0.0044673,           0.0044673
                   6,            0.045345,            0.050462,            0.013313,             0.76662,             0.71882,             0.78078,             0.47089,            0.043461,            0.033045,           0.0058386,            0.050173,           0.0051733,           0.0051733
                   7,            0.047782,            0.060111,            0.010296,             0.78477,             0.70535,             0.78927,             0.49335,            0.043043,            0.032515,            0.005286,            0.042863,           0.0058634,           0.0058634
                   8,             0.04791,            0.058355,            0.012384,             0.76321,             0.72629,             0.79482,             0.46899,            0.045881,            0.032661,           0.0050303,            0.035538,           0.0065377,           0.0065377
                   9,             0.04628,             0.05482,            0.010079,             0.72671,             0.77933,             0.79589,             0.49331,              0.0441,            0.031951,           0.0049402,            0.028196,           0.0071961,           0.0071961
                  10,            0.047582,            0.062259,            0.010242,             0.71435,             0.76873,             0.78768,             0.45911,            0.049193,            0.030576,           0.0047817,            0.020839,           0.0078387,           0.0078387
                  11,            0.048513,            0.055168,            0.009841,             0.80089,              0.7582,             0.80545,             0.50011,            0.045121,            0.030078,           0.0047773,            0.013465,           0.0084655,           0.0084655
                  12,            0.047757,            0.049645,            0.011705,             0.77415,             0.76613,             0.80192,             0.49343,            0.044845,            0.029532,           0.0046345,            0.008812,            0.008812,            0.008812
                  13,            0.046369,            0.055839,            0.011189,             0.81724,             0.75624,             0.81755,             0.51977,            0.043283,            0.029415,           0.0047612,            0.008812,            0.008812,            0.008812
                  14,            0.045125,            0.048466,           0.0098407,             0.79557,             0.75998,             0.82556,             0.54004,            0.042249,            0.028923,           0.0046235,            0.008713,            0.008713,            0.008713
                  15,            0.042911,            0.051639,           0.0093965,             0.81482,             0.80134,             0.84505,             0.54595,            0.041627,            0.029002,            0.004423,            0.008614,            0.008614,            0.008614
                  16,            0.045406,            0.048294,           0.0096435,             0.82379,             0.76392,             0.84578,             0.55524,            0.039862,            0.029198,           0.0045532,            0.008515,            0.008515,            0.008515
                  17,            0.042712,            0.048505,           0.0099192,             0.78743,             0.81042,             0.84656,             0.54391,            0.041111,            0.029257,           0.0043042,            0.008416,            0.008416,            0.008416
                  18,             0.04352,            0.049302,           0.0098032,             0.86753,             0.77488,              0.8532,             0.56977,             0.03884,             0.02879,           0.0042311,            0.008317,            0.008317,            0.008317
                  19,            0.040554,            0.049149,            0.010321,             0.85709,             0.77244,             0.85351,             0.53581,            0.041234,            0.028326,           0.0040903,            0.008218,            0.008218,            0.008218
                  20,            0.043446,            0.046952,           0.0096975,             0.85133,             0.80264,             0.86037,             0.53232,             0.04162,            0.027774,           0.0039164,            0.008119,            0.008119,            0.008119
                  21,            0.044791,            0.045812,           0.0087531,             0.80837,             0.83562,             0.86139,             0.52846,            0.040238,            0.027923,           0.0038409,             0.00802,             0.00802,             0.00802
                  22,            0.043445,            0.049955,           0.0092759,             0.75285,             0.81539,             0.83914,             0.53379,             0.04197,            0.027256,           0.0038794,            0.007921,            0.007921,            0.007921
                  23,            0.043496,             0.04575,           0.0082598,             0.81168,             0.81891,             0.85994,             0.56484,            0.039802,            0.026782,            0.003983,            0.007822,            0.007822,            0.007822
                  24,            0.039434,            0.048877,           0.0092847,             0.84007,              0.8037,             0.87616,             0.55123,            0.038291,             0.02674,           0.0038756,            0.007723,            0.007723,            0.007723
                  25,            0.042425,            0.040853,           0.0089589,             0.86774,             0.79739,             0.88206,             0.58754,             0.03883,              0.0267,           0.0038267,            0.007624,            0.007624,            0.007624
                  26,            0.041986,            0.049914,           0.0075849,             0.82908,             0.81718,             0.87339,             0.57137,             0.03913,            0.026709,           0.0038139,            0.007525,            0.007525,            0.007525
                  27,            0.042096,             0.05224,           0.0074085,             0.83327,             0.83452,             0.88598,             0.60175,            0.036228,            0.026438,           0.0037022,            0.007426,            0.007426,            0.007426
                  28,            0.041012,            0.049566,           0.0090668,             0.85262,              0.8009,             0.89176,             0.60369,            0.037375,            0.025727,           0.0035421,            0.007327,            0.007327,            0.007327
                  29,            0.040568,            0.045804,           0.0081898,             0.82751,             0.82763,              0.8919,             0.57885,            0.038279,            0.025875,           0.0035144,            0.007228,            0.007228,            0.007228
                  30,            0.042586,            0.045224,           0.0071752,             0.84962,             0.82597,             0.90642,             0.59103,            0.038004,            0.025079,           0.0034443,            0.007129,            0.007129,            0.007129
                  31,            0.040811,            0.050859,           0.0074711,             0.87245,             0.83815,             0.92041,             0.61362,            0.035702,            0.024891,           0.0034344,             0.00703,             0.00703,             0.00703
                  32,            0.040503,            0.044114,           0.0082222,             0.80878,             0.83011,             0.89898,              0.5807,            0.037675,            0.026123,           0.0035287,            0.006931,            0.006931,            0.006931
                  33,            0.040722,            0.048279,           0.0073547,             0.83546,             0.82524,             0.88989,             0.59198,            0.037367,            0.025482,            0.003408,            0.006832,            0.006832,            0.006832
                  34,             0.04077,            0.047788,           0.0075033,              0.9044,             0.82773,             0.90925,             0.60666,            0.035756,            0.024721,            0.003358,            0.006733,            0.006733,            0.006733
                  35,            0.039554,            0.047537,           0.0073086,             0.87791,             0.83824,             0.90736,             0.60844,            0.036131,            0.024257,           0.0032461,            0.006634,            0.006634,            0.006634
                  36,            0.041091,            0.045854,           0.0071049,              0.9082,             0.83129,             0.91503,             0.63416,            0.034487,             0.02387,           0.0031867,            0.006535,            0.006535,            0.006535
                  37,            0.039308,            0.045209,           0.0071776,             0.89618,              0.8367,             0.91035,             0.63681,            0.036277,            0.023772,           0.0032599,            0.006436,            0.006436,            0.006436
                  38,            0.039677,            0.045275,           0.0065717,             0.91294,              0.8257,             0.90505,              0.6223,            0.034937,            0.023685,            0.003342,            0.006337,            0.006337,            0.006337
                  39,            0.040111,            0.044438,           0.0065806,             0.88678,             0.84916,             0.91301,             0.62211,            0.034275,            0.024108,           0.0033479,            0.006238,            0.006238,            0.006238
                  40,            0.038202,            0.044034,           0.0073707,             0.85877,             0.86206,             0.91914,             0.61122,            0.035383,            0.024479,           0.0032622,            0.006139,            0.006139,            0.006139
                  41,            0.039218,            0.042457,           0.0072306,             0.83231,             0.87782,             0.91006,             0.64223,            0.034154,            0.023668,             0.00317,             0.00604,             0.00604,             0.00604
                  42,            0.039189,            0.042831,           0.0067508,             0.82949,              0.8872,             0.91683,             0.63588,            0.034154,            0.023668,           0.0031437,            0.005941,            0.005941,            0.005941
                  43,            0.037087,            0.043587,           0.0065756,             0.82613,             0.88598,             0.92092,             0.64888,            0.033405,            0.023469,           0.0031163,            0.005842,            0.005842,            0.005842
                  44,            0.038528,            0.044113,           0.0071986,             0.85563,             0.88781,             0.92097,             0.63862,            0.034177,            0.023606,           0.0031089,            0.005743,            0.005743,            0.005743
                  45,            0.038589,            0.036965,           0.0070784,             0.87589,             0.86593,             0.92938,             0.66555,            0.032572,            0.023029,           0.0031016,            0.005644,            0.005644,            0.005644
                  46,            0.037018,            0.041565,            0.005933,             0.84924,             0.90186,             0.92784,             0.66832,            0.033134,            0.022964,           0.0030518,            0.005545,            0.005545,            0.005545
                  47,            0.036288,            0.041108,           0.0063238,             0.87583,             0.89385,             0.93048,              0.6521,            0.033821,            0.023038,           0.0030086,            0.005446,            0.005446,            0.005446
                  48,            0.037125,            0.039202,           0.0059711,              0.9055,             0.85411,             0.92299,             0.66279,              0.0326,            0.022682,           0.0029569,            0.005347,            0.005347,            0.005347
                  49,            0.035818,            0.039262,           0.0059547,             0.88929,             0.87575,             0.92764,             0.65141,            0.033103,            0.022651,           0.0028837,            0.005248,            0.005248,            0.005248
                  50,            0.036581,            0.037543,           0.0066025,             0.90389,             0.86433,             0.92345,             0.65368,             0.03241,            0.022502,           0.0028512,            0.005149,            0.005149,            0.005149
                  51,            0.037356,             0.04337,           0.0067237,              0.9069,              0.8504,             0.91968,             0.65101,            0.032657,            0.022774,           0.0027905,             0.00505,             0.00505,             0.00505
                  52,            0.036907,            0.040761,           0.0058206,             0.90678,             0.86087,             0.93521,             0.67462,            0.032077,            0.022042,             0.00274,            0.004951,            0.004951,            0.004951
                  53,            0.034953,            0.037937,           0.0061779,             0.92531,             0.86908,             0.93837,             0.66858,             0.03218,            0.021685,           0.0027184,            0.004852,            0.004852,            0.004852
                  54,            0.037181,            0.036799,           0.0072817,             0.90766,              0.8536,             0.92688,             0.68575,            0.031259,            0.021799,            0.002679,            0.004753,            0.004753,            0.004753
                  55,            0.036334,            0.039811,           0.0063996,             0.88892,             0.87527,             0.93072,             0.67919,             0.03059,            0.021692,           0.0026448,            0.004654,            0.004654,            0.004654
