               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074863,            0.030533,            0.020297,             0.52689,             0.44348,             0.35999,              0.1361,            0.053909,            0.019665,           0.0062873,            0.070021,            0.003331,            0.003331
                   1,            0.056185,            0.020803,           0.0048546,             0.61665,             0.69199,             0.62647,             0.25819,            0.045467,            0.014682,           0.0032367,            0.039955,           0.0065983,           0.0065983
                   2,            0.051227,            0.017956,           0.0033449,             0.55709,             0.82429,             0.65723,             0.26186,            0.043486,            0.014676,           0.0022404,           0.0098232,           0.0097997,           0.0097997
                   3,            0.046686,            0.017784,           0.0026724,             0.77977,             0.81685,             0.80782,             0.37519,            0.038113,            0.013885,           0.0016973,            0.009703,            0.009703,            0.009703
                   4,            0.043823,            0.017324,           0.0022388,             0.74899,             0.83994,             0.81243,             0.37696,            0.037729,            0.013806,           0.0014736,            0.009703,            0.009703,            0.009703
                   5,            0.041736,            0.016586,           0.0017102,             0.71596,             0.74927,             0.77169,             0.38974,            0.037524,            0.013774,           0.0013882,            0.009604,            0.009604,            0.009604
                   6,            0.040661,            0.016746,            0.001584,              0.7671,             0.88882,             0.84051,             0.38674,            0.035766,            0.013545,           0.0013117,            0.009505,            0.009505,            0.009505
                   7,            0.039367,            0.016151,           0.0013543,             0.77269,             0.91319,             0.79001,             0.36879,            0.035082,            0.013211,            0.001205,            0.009406,            0.009406,            0.009406
                   8,            0.038671,            0.016218,            0.001178,             0.73959,             0.90185,               0.831,             0.41851,            0.034045,            0.013469,           0.0016627,            0.009307,            0.009307,            0.009307
                   9,            0.038435,            0.016161,           0.0011739,             0.79628,              0.9135,             0.84576,             0.40779,            0.034471,            0.013373,          0.00099989,            0.009208,            0.009208,            0.009208
                  10,            0.037711,            0.016001,           0.0011679,             0.74994,             0.91623,             0.78159,             0.36533,            0.035324,            0.013408,          0.00099948,            0.009109,            0.009109,            0.009109
                  11,            0.037642,             0.01563,           0.0010392,             0.75826,             0.92257,             0.84588,             0.41355,            0.034042,            0.013136,           0.0012239,             0.00901,             0.00901,             0.00901
                  12,            0.036993,            0.015765,           0.0010139,             0.82625,             0.88952,             0.86075,             0.44434,            0.033285,            0.013122,          0.00093607,            0.008911,            0.008911,            0.008911
                  13,             0.03727,            0.015463,           0.0010221,             0.79737,             0.91974,             0.88238,             0.43997,            0.034075,            0.012921,           0.0012368,            0.008812,            0.008812,            0.008812
                  14,            0.036904,            0.015559,          0.00091478,             0.79328,             0.91697,             0.85322,             0.42253,            0.033198,            0.012889,           0.0011702,            0.008713,            0.008713,            0.008713
